capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
goods.protective_clothing,"Goods, Supplies and Specialized Equipment",Apparel and Textiles,Protective Apparel,Protective Clothing and Operational Supplies Rental,8,HIGH,"Rental, supply, exchange, and servicing of protective shop clothing, uniforms, linens, and operational apparel.",53 Real Estate and Rental and Leasing | 5322 Consumer Goods Rental | 81 Other Services,91111501
goods.uniforms,"Goods, Supplies and Specialized Equipment",Apparel and Textiles,Uniforms,Uniform Supply,1,MODERATE,"Manufacture, supply, and delivery of uniforms and standardized apparel.",31-33 Manufacturing | 315 Apparel Manufacturing | 42 Wholesale Trade,53102705
goods.printing_envelopes,"Goods, Supplies and Specialized Equipment",Printing and Mailing,Printed Materials,"Envelope Supply, Printing, and Mass Mailing",4,HIGH,"Production, supply, printing, preparation, and delivery of envelopes and high-volume printed materials.",31-33 Manufacturing | 323 Printing and Related Support Activities | 32 Manufacturing,44121505 | 55101500 | 73151900 | 82121505
goods.lab_supplies,"Goods, Supplies and Specialized Equipment",Laboratory Supplies,Consumables,Laboratory Supplies,1,MODERATE,"Supply of laboratory consumables, containers, reagents, and related materials.",42 Wholesale Trade | 4234 Professional and Commercial Equipment and Supplies Merchant Wholesalers,12161500 | 41122600
goods.agricultural_pest,"Goods, Supplies and Specialized Equipment",Agricultural Supplies,Pest Monitoring,Agricultural Pest Monitoring Supplies,4,HIGH,"Supply of traps, lures, attractants, yeast, and related agricultural pest-monitoring materials.",42 Wholesale Trade | 4249 Miscellaneous Nondurable Goods Merchant Wholesalers | 11 Agriculture,10191703 | 50181710
goods.fuel,"Goods, Supplies and Specialized Equipment",Fuel and Energy Products,Fuel,Fuel Supply,1,PROVISIONAL,Supply and delivery of fuel products; the source title is insufficient and requires source-document verification.,42 Wholesale Trade | 4247 Petroleum and Petroleum Products Merchant Wholesalers,15101513
goods.snow_equipment,"Goods, Supplies and Specialized Equipment",Grounds Equipment,Snow Equipment,Snowblowers and Accessories,1,MODERATE,"Supply of snowblowers, replacement parts, batteries, and related accessories.","42 Wholesale Trade | 4238 Machinery, Equipment, and Supplies Merchant Wholesalers",22101531 | 26101732 | 26111704 | 31161600
goods.live_fish,"Goods, Supplies and Specialized Equipment",Biological Supplies,Aquaculture,Live Fish Supply,2,MODERATE,"Supply and delivery of live fish for stocking, conservation, or program purposes.","11 Agriculture, Forestry, Fishing and Hunting | 1125 Aquaculture",10101700
goods.pumps_motors,"Goods, Supplies and Specialized Equipment",Industrial Equipment,Pumps and Motors,Pumps and Motors Supply,1,MODERATE,"Supply of industrial pumps, motors, and associated parts.","42 Wholesale Trade | 4238 Machinery, Equipment, and Supplies Merchant Wholesalers",
goods.road_parts,"Goods, Supplies and Specialized Equipment",Transportation Supplies,Roadway Parts,Guardrail and Roadway Safety Parts,1,MODERATE,"Supply of guardrail, end treatments, and roadway safety components.",42 Wholesale Trade | 4233 Lumber and Other Construction Materials Merchant Wholesalers,30121717
goods.heavy_vehicle,"Goods, Supplies and Specialized Equipment",Vehicles and Heavy Equipment,Truck Equipment,Heavy Vehicle Bodies and Equipment,1,MODERATE,"Supply of heavy-duty vehicle bodies, roll-off equipment, charging systems, and associated truck components.",31-33 Manufacturing | 3362 Motor Vehicle Body and Trailer Manufacturing | 42 Wholesale Trade,25181603
goods.gaming_equipment,"Goods, Supplies and Specialized Equipment",Recreation and Therapeutic Equipment,Gaming,Modified Gaming Consoles,1,MODERATE,"Supply of modified or accessible gaming consoles for therapeutic, accessibility, or institutional use.",42 Wholesale Trade | 4234 Professional and Commercial Equipment and Supplies Merchant Wholesalers,52161558
goods.vending_machines,"Goods, Supplies and Specialized Equipment",Food Service Equipment,Vending,Vending Machine Supply,1,MODERATE,"Supply and delivery of frozen-food, snack, and beverage vending machines.",42 Wholesale Trade | 4234 Professional and Commercial Equipment and Supplies Merchant Wholesalers,48111000
food.catering,"Food, Hospitality and Event Services",Food Services,Catering,Meals and Catering Services,1,MODERATE,"Preparation, delivery, and service of meals and catered food for events, programs, or athletic operations.",72 Accommodation and Food Services | 7223 Special Food Services,42211900
food.concession,"Food, Hospitality and Event Services",Concessions,Food Service,Food Service Concession Operations,1,MODERATE,Operation of a cafe or food-service concession in a government facility.,72 Accommodation and Food Services | 7225 Restaurants and Other Eating Places,80131500
food.fair_services,"Food, Hospitality and Event Services",Event Services,Fair Operations,Fair-Time Services,1,MODERATE,Services supporting fair-time operations; detailed sub-capabilities require solicitation-document review.,"71 Arts, Entertainment, and Recreation | 7113 Promoters of Performing Arts, Sports, and Similar Events",90151802
hospitality.lodging,"Food, Hospitality and Event Services",Lodging,Temporary Lodging,Lodging and Event-Space Services,2,MODERATE,"Temporary lodging, staff accommodation, or operation of event-space and lodging facilities.",72 Accommodation and Food Services | 7211 Traveler Accommodation,90111500
real_estate.leasing,Real Estate and Property Services,Property Acquisition,Leasing,Government Office and Facility Leasing,7,HIGH,"Lease acquisition of office, program, or operational space by a public entity.",53 Real Estate and Rental and Leasing | 5311 Lessors of Real Estate,80131500
real_estate.concession,Real Estate and Property Services,Property Operations,Concessions,Public Facility Concession Opportunities,1,MODERATE,"Third-party operation of a concession, commercial use, or revenue-generating activity at a public property.",53 Real Estate and Rental and Leasing | 5313 Activities Related to Real Estate,80141701
funding.clean_hydrogen,Funding and Program Opportunities,Clean Energy Funding,Hydrogen,Clean Hydrogen Project Funding,3,HIGH,"Grant or cost-share funding for clean-hydrogen production, infrastructure, demonstration, or end-use projects.","22 Utilities | 54 Professional, Scientific, and Technical Services",
funding.ev_charging,Funding and Program Opportunities,Clean Transportation Funding,Electric Vehicles,Electric Vehicle Charging Project Funding,3,HIGH,"Grant funding for community, school-bus, residential, or corridor electric-vehicle charging infrastructure.",22 Utilities | 23 Construction,
funding.carbon_removal,Funding and Program Opportunities,Climate Technology Funding,Carbon Management,Carbon Removal Demonstration Funding,1,MODERATE,"Funding for direct-air-capture, carbon-removal, pre-commercial demonstration, and community-engagement projects.","54 Professional, Scientific, and Technical Services | 22 Utilities",
funding.geothermal,Funding and Program Opportunities,Renewable Energy Funding,Geothermal,Geothermal Project Funding,1,MODERATE,Cost-share or grant funding for geothermal energy development and federally aligned projects.,"22 Utilities | 21 Mining, Quarrying, and Oil and Gas Extraction",
funding.energy_efficiency,Funding and Program Opportunities,Energy Finance,Efficiency Programs,Energy Efficiency and Renewable Energy Financing,2,MODERATE,"Loan, financing, or grant programs for energy efficiency and renewable-energy improvements.",52 Finance and Insurance | 22 Utilities,
funding.broadband,Funding and Program Opportunities,Digital Infrastructure Funding,Broadband,Broadband Infrastructure Funding,1,MODERATE,Funding and technical program support for broadband infrastructure expansion.,51 Information | 5171 Telecommunications | 23 Construction,43232314 | 81161700
