capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
it.enterprise_software,Information Technology and Digital Services,Software,Enterprise Applications,Enterprise Software Implementation and Integration,6,HIGH,"Design, configuration, development, implementation, integration, and modernization of enterprise software platforms.","51 Information | 5132 Software Publishers | 54 Professional, Scientific, and Technical Services | 5415 Computer Systems Design and Related Services",43231500 | 43231512 | 81111503 | 81162000 | 81162100
it.application_operations,Information Technology and Digital Services,Software,Application Operations,Application Maintenance and Operations,3,HIGH,"Ongoing maintenance, operations, enhancement, administration, and support of production applications.","54 Professional, Scientific, and Technical Services | 5415 Computer Systems Design and Related Services",81161501 | 81162004 | 81162100 | 81162302
it.cloud_productivity,Information Technology and Digital Services,Cloud Services,Productivity Platforms,Cloud and Microsoft 365 Services,1,MODERATE,"Development, administration, configuration, support, and governance of Microsoft 365 and related cloud productivity services.","54 Professional, Scientific, and Technical Services | 5415 Computer Systems Design and Related Services",80101507 | 81162000
it.software_licensing,Information Technology and Digital Services,Software,Licensing,Software Licensing and Subscription Renewal,2,MODERATE,"Procurement, renewal, and support of software licenses and subscription entitlements.",51 Information | 5132 Software Publishers | 42 Wholesale Trade,43231500 | 43231501 | 81112106
it.cybersecurity,Information Technology and Digital Services,Cybersecurity,Managed Security,Managed Cybersecurity Services,1,MODERATE,"Managed security, monitoring, protection, and cybersecurity service delivery.","54 Professional, Scientific, and Technical Services | 5415 Computer Systems Design and Related Services",43222500 | 43233200 | 81111801 | 83112400
it.hardware_support,Information Technology and Digital Services,Infrastructure Support,Hardware Support,Hardware Maintenance and Support,1,MODERATE,Maintenance and vendor support for computer hardware and associated software platforms.,"81 Other Services | 8112 Electronic and Precision Equipment Repair and Maintenance | 54 Professional, Scientific, and Technical Services",81112300
it.records_digitization,Information Technology and Digital Services,Data and Content,Digitization,Records Digitization,1,MODERATE,Conversion of physical or legacy records into indexed digital content and data.,"51 Information | 5182 Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services | 56 Administrative and Support",43232111
it.scada,Information Technology and Digital Services,Operational Technology,SCADA,SCADA and Industrial Control Services,1,MODERATE,"Support, integration, maintenance, or modernization of supervisory control and data acquisition systems.","54 Professional, Scientific, and Technical Services | 5415 Computer Systems Design and Related Services",81141800
it.emergency_communications,Information Technology and Digital Services,Telecommunications,Emergency Communications,9-1-1 and Call Processing Systems,1,MODERATE,"Procurement and implementation of emergency call-processing, dispatch, and associated communications systems.","51 Information | 5171 Wired and Wireless Telecommunications Carriers | 54 Professional, Scientific, and Technical Services",81161700
it.environmental_monitoring_equipment,Information Technology and Digital Services,Data Acquisition,Monitoring Equipment,Data Logging and Environmental Monitoring Equipment,2,MODERATE,"Supply and related services for data loggers, sensors, environmental monitoring devices, and field data-acquisition equipment.","33 Manufacturing | 3345 Navigational, Measuring, Electromedical, and Control Instruments Manufacturing | 42 Wholesale Trade",41111900 | 41112200 | 41114406 | 43201500
it.communications_equipment_operations,Information Technology and Digital Services,Telecommunications,Equipment Operations,Communications Equipment Processing,1,MODERATE,"Processing, configuration, logistics, inventory, and support operations for communications equipment.",51 Information | 5171 Telecommunications | 56 Administrative and Support,43222800 | 43223000 | 81161700 | 83111500
