capability_id,canonical_capability,government_terminology,business_terminology,abbreviations,industry_terminology
professional.engineering,Architecture and Engineering Services,A&E on-call | architecture and engineering retainer | engineering services,A&E services | professional engineering | design consulting,A&E,A&E services | professional engineering | design consulting
professional.construction_management,Construction Management Services,construction management services,CM services | construction administration,CM,CM services | construction administration
professional.geotechnical_drilling,Geological Exploration and Sonic Drilling,geological exploration sonic drilling,sonic drilling | geotechnical drilling,,sonic drilling | geotechnical drilling
professional.environmental,Environmental and CEQA Consulting,environmental services | CEQA compliance | groundwater monitoring,environmental consulting | CEQA services,CEQA,environmental consulting | CEQA services
professional.environmental_due_diligence,Environmental and Property Due Diligence,PRP search services | chain of title searches,PRP investigation | environmental due diligence,PRP,PRP investigation | environmental due diligence
professional.strategic_planning,Strategic Planning and Organizational Development,strategic planning services | board administration | team development consulting,management consulting | organizational development,,management consulting | organizational development
professional.health_consulting,"Health, Medical, and Pharmaceutical Consulting",medical consultant services | physician consulting | pharmaceutical consulting,clinical consulting | health-program consulting,,clinical consulting | health-program consulting
professional.investment,"Investment, Valuation, and Due Diligence Consulting",portfolio assistance | investment due diligence | real assets valuation,investment advisory | portfolio consulting,,investment advisory | portfolio consulting
professional.audit_fiscal,Audit and Fiscal Agent Services,program fund external auditing | fiscal agent,external audit | fiscal administration,,external audit | fiscal administration
professional.government_relations,Government Relations and Advocacy,federal governmental relations | federal advocacy,government affairs | legislative advocacy,,government affairs | legislative advocacy
professional.commercial_card,Commercial Card Services,commercial card services,p-card services | corporate card services,,p-card services | corporate card services
professional.research_evaluation,"Research, Survey, and Program Evaluation",focus group research | consumer awareness survey | program evaluation | demographic data collection,market research | program evaluation,,market research | program evaluation
professional.real_estate_services,"Title, Escrow, and Real Estate Services",title and escrow services | escrow and title services,title services | escrow services,,title services | escrow services
professional.legal,Legal and Public Defender Services,public defender services,legal counsel | indigent defense,,legal counsel | indigent defense
professional.language_access,"Interpretation, Captioning, and Hearing Reporting",telephone interpreter services | ASL interpreting | real-time captioning | hearing reporter services,language access | CART | ASL interpreting,ASL | CART,language access | CART | ASL interpreting
professional.marketing,"Marketing, Communications, Outreach, and Advertising",marketing and communications | outreach and advertising | prevention clearinghouse,public relations | communications services,,public relations | communications services
professional.media,Videography and Educational Media Production,live-action educational videographer services,video production | educational videography,,video production | educational videography
professional.program_admin,Program Administration and Technical Assistance,technical assistance | supportive services plans | career pathways fiscal agent,TA services | program management,TA,TA services | program management
professional.energy_project_development,Energy Resiliency and Asset Commercialization Development,Cal CLEAN Partnership | CLEAN Projects,energy project development | public-private project development,CLEAN,energy project development | public-private project development
