capability_id,domain,category,group,canonical_capability,support_count,confidence,definition,related_naics_families,observed_unspsc_codes
transport.towing_storage,"Transportation, Fleet and Logistics",Vehicle Services,Towing,Evidence Impound Towing and Storage,4,HIGH,"Towing, impound, secure storage, custody, and release of evidence or enforcement vehicles.",48-49 Transportation and Warehousing | 4884 Support Activities for Road Transportation,78141505 | 91101800
transport.bus_charter,"Transportation, Fleet and Logistics",Passenger Transportation,Bus Services,Bus Charter and Rental Services,2,MODERATE,Charter-bus transportation or bus rental for passengers and program operations.,48-49 Transportation and Warehousing | 4855 Charter Bus Industry,78111808
transport.freight_delivery,"Transportation, Fleet and Logistics",Freight and Delivery,Freight,Freight Shipping and Delivery,1,MODERATE,"Freight transport and delivery of cargo, equipment, or materials.",48-49 Transportation and Warehousing | 484 Truck Transportation | 4885 Freight Transportation Arrangement,78121601 | 78141501
transport.courier,"Transportation, Fleet and Logistics",Freight and Delivery,Courier,Courier Services,3,HIGH,Scheduled or on-demand courier and document/package delivery between offices or sites.,48-49 Transportation and Warehousing | 492 Couriers and Messengers,78102200 | 83111600
transport.warehousing_fulfillment,"Transportation, Fleet and Logistics",Logistics Operations,Warehousing,"Warehousing, Preparation, and Mailing",1,MODERATE,"Warehousing, inventory handling, packaging, preparation, transport, and mailing fulfillment.",48-49 Transportation and Warehousing | 493 Warehousing and Storage | 56 Administrative and Support,78101800 | 78102203 | 78131804
transport.aircraft_maintenance,"Transportation, Fleet and Logistics",Fleet Maintenance,Aircraft,Aircraft Maintenance and Repair,1,MODERATE,Scheduled and corrective maintenance and repair of aircraft.,48-49 Transportation and Warehousing | 4881 Support Activities for Air Transportation,78181900
transport.vehicle_decommissioning,"Transportation, Fleet and Logistics",Fleet Operations,Vehicle Lifecycle,Vehicle Decommissioning,1,MODERATE,"Removal of equipment, markings, technology, and agency-specific features when retiring vehicles.",81 Other Services | 8111 Automotive Repair and Maintenance,78180000
transport.snow_hauling,"Transportation, Fleet and Logistics",Seasonal Operations,Snow,Snow Hauling,1,MODERATE,"Loading, transportation, and disposal or relocation of accumulated snow.",56 Administrative and Support | 5617 Services to Buildings and Dwellings | 48-49 Transportation and Warehousing,72102903
transport.planning,"Transportation, Fleet and Logistics",Transportation Planning,Studies,Transportation Planning and Parking Studies,1,MODERATE,"Planning studies, demand analysis, site analysis, and recommendations for transportation systems and parking.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services",
transport.its,"Transportation, Fleet and Logistics",Intelligent Transportation,ITS,Roadway Weather and Message Sign Systems,1,MODERATE,"Supply, installation, maintenance, or support of roadway weather information and portable message-sign systems.","54 Professional, Scientific, and Technical Services | 5415 Computer Systems Design and Related Services | 23 Construction",41114410 | 43212200 | 43232300 | 81112000
transport.asset_data,"Transportation, Fleet and Logistics",Transportation Data,Asset Inventory,Transportation Asset and Retroreflectivity Data Collection,2,MODERATE,"Field collection, measurement, inventory, and geospatial documentation of transportation assets and markings.","54 Professional, Scientific, and Technical Services | 5413 Architectural, Engineering, and Related Services",43211718
